variant	qualifier	member	arity	class	in_all	has_decl	has_scheme	in_first_schemed	in_canon_qual	has_lower_arm	runtime_sym	runtime_sym_exists	ref_runtime_sym_exists	in_ref_stdlib	status
StringFromChar	String	fromChar	1	Pure	Y	Y	Y	Y	Y	Y	string_from_char	Y	N	N	OK
StringFromList	String	fromList	1	Pure	Y	Y	Y	Y	Y	Y	string_from_list	Y	N	N	OK
StringConcat	String	concat	1	Pure	Y	Y	Y	Y	Y	Y	string_concat	Y	N	N	OK
StringWords	String	words	1	Pure	Y	Y	Y	Y	Y	Y	string_words	Y	N	N	OK
StringLines	String	lines	1	Pure	Y	Y	Y	Y	Y	Y	string_lines	Y	N	N	OK
StringToList	String	toList	1	Pure	Y	Y	Y	Y	Y	Y	string_to_list	Y	N	N	OK
StringIsEmail	String	isEmail	1	Pure	Y	Y	Y	Y	Y	Y	string_is_email	Y	N	N	OK
StringIsUrl	String	isUrl	1	Pure	Y	Y	Y	Y	Y	Y	string_is_url	Y	N	N	OK
StringAppend	String	append	2	Pure	Y	Y	Y	Y	Y	Y	string_append	Y	N	N	OK
StringContains	String	contains	2	Pure	Y	Y	Y	Y	Y	Y	string_contains	Y	N	N	OK
StringStartsWith	String	startsWith	2	Pure	Y	Y	Y	Y	Y	Y	string_starts_with	Y	N	N	OK
StringEndsWith	String	endsWith	2	Pure	Y	Y	Y	Y	Y	Y	string_ends_with	Y	N	N	OK
StringEqualFold	String	equalFold	2	Pure	Y	Y	Y	Y	Y	Y	string_equal_fold	Y	N	N	OK
StringJoin	String	join	2	Pure	Y	Y	Y	Y	Y	Y	string_join	Y	N	N	OK
StringSplit	String	split	2	Pure	Y	Y	Y	Y	Y	Y	string_split	Y	N	N	OK
StringRepeat	String	repeat	2	Pure	Y	Y	Y	Y	Y	Y	string_repeat	Y	N	N	OK
StringDropLeft	String	dropLeft	2	Pure	Y	Y	Y	Y	Y	Y	string_drop_left	Y	N	N	OK
StringDropRight	String	dropRight	2	Pure	Y	Y	Y	Y	Y	Y	string_drop_right	Y	N	N	OK
StringReplace	String	replace	3	Pure	Y	Y	Y	Y	Y	Y	string_replace	Y	N	N	OK
StringSlice	String	slice	3	Pure	Y	Y	Y	Y	Y	Y	string_slice	Y	N	N	OK
StringPadLeft	String	padLeft	3	Pure	Y	Y	Y	Y	Y	Y	string_pad_left	Y	N	N	OK
StringPadRight	String	padRight	3	Pure	Y	Y	Y	Y	Y	Y	string_pad_right	Y	N	N	OK
StringContainsIn	String	containsIn	2	Pure	Y	Y	Y	Y	Y	Y	string_contains_in	Y	N	N	OK
StringStartsWithIn					Y	N	Y	Y	N	Y	string_starts_with_in	Y	N	N	OK
StringEndsWithIn	String	endsWithIn	2	Pure	Y	Y	Y	Y	Y	Y	string_ends_with_in	Y	N	N	OK
CharIsAlpha	Char	isAlpha	1	Pure	Y	Y	Y	Y	Y	Y	char_is_alpha	Y	N	N	OK
CharIsDigit	Char	isDigit	1	Pure	Y	Y	Y	Y	Y	Y	char_is_digit	Y	N	N	OK
CharIsLower	Char	isLower	1	Pure	Y	Y	Y	Y	Y	Y	char_is_lower	Y	N	N	OK
CharIsUpper	Char	isUpper	1	Pure	Y	Y	Y	Y	Y	Y	char_is_upper	Y	N	N	OK
CharToLower	Char	toLower	1	Pure	Y	Y	Y	Y	Y	Y	char_to_lower	Y	N	N	OK
CharToUpper	Char	toUpper	1	Pure	Y	Y	Y	Y	Y	Y	char_to_upper	Y	N	N	OK
CharToCode	Char	toCode	1	Pure	Y	Y	Y	Y	Y	Y	char_to_code	Y	N	N	OK
CharFromCode	Char	fromCode	1	Pure	Y	Y	Y	Y	Y	Y	char_from_code	Y	N	N	OK
ListMap	List	map	2	Pure	Y	Y	Y	N	Y	Y	list_map_consume	N	N	N	MISMATCH:runtime_sym_missing
ListFilter	List	filter	2	Pure	Y	Y	Y	N	Y	Y	list_filter	Y	N	N	OK
ListFoldl	List	foldl	3	Pure	Y	Y	Y	N	Y	Y	list_foldl	Y	N	N	OK
ListFoldr	List	foldr	3	Pure	Y	Y	Y	N	Y	Y	list_foldr	Y	N	N	OK
ListLength	List	length	1	Pure	Y	Y	Y	N	Y	Y	list_length	Y	N	N	OK
ListHead	List	head	1	Pure	Y	Y	Y	N	Y	Y	list_head	Y	N	N	OK
ListTail	List	tail	1	Pure	Y	Y	Y	N	Y	Y	list_tail	Y	N	N	OK
ListMember	List	member	2	Pure	Y	Y	Y	N	Y	Y	list_member	Y	N	N	OK
ListRange	List	range	2	Pure	Y	Y	Y	N	Y	Y	list_range	Y	N	N	OK
ListReverse	List	reverse	1	Pure	Y	Y	Y	N	Y	Y	list_reverse	Y	N	N	OK
ListAppend	List	append	2	Pure	Y	Y	Y	Y	Y	Y	list_append	Y	N	N	OK
ListConcat	List	concat	1	Pure	Y	Y	Y	Y	Y	Y	list_concat	Y	N	N	OK
ListTake	List	take	2	Pure	Y	Y	Y	Y	Y	Y	list_take	Y	N	N	OK
ListDrop	List	drop	2	Pure	Y	Y	Y	Y	Y	Y	list_drop	Y	N	N	OK
ListZip	List	zip	2	Pure	Y	Y	Y	Y	Y	Y	list_zip	Y	N	N	OK
ListCons	List	cons	2	Pure	Y	Y	Y	Y	Y	Y	sky_list_cons	Y	N	N	OK
ListIsEmpty	List	isEmpty	1	Pure	Y	Y	Y	Y	Y	Y	list_is_empty	Y	N	N	OK
ListConcatMap	List	concatMap	2	Pure	Y	Y	Y	Y	Y	Y	list_concat_map	Y	N	N	OK
ListIndexedMap	List	indexedMap	2	Pure	Y	Y	Y	Y	Y	Y	list_indexed_map	Y	N	N	OK
ListAny	List	any	2	Pure	Y	Y	Y	Y	Y	Y	list_any	Y	N	N	OK
ListAll	List	all	2	Pure	Y	Y	Y	Y	Y	Y	list_all	Y	N	N	OK
ListFind	List	find	2	Pure	Y	Y	Y	Y	Y	Y	list_find	Y	N	N	OK
ListFilterMap	List	filterMap	2	Pure	Y	Y	Y	Y	Y	Y	list_filter_map	Y	N	N	OK
ListSortBy	List	sortBy	2	Pure	Y	Y	Y	Y	Y	Y	list_sort_by	Y	N	N	OK
BasicsNot	Basics	not	1	Pure	Y	Y	Y	Y	Y	Y	basics_not	Y	N	N	OK
BasicsIdentity	Basics	identity	1	Pure	Y	Y	Y	Y	Y	Y	basics_identity	Y	N	N	OK
BasicsAlways	Basics	always	2	Pure	Y	Y	Y	Y	Y	Y	basics_always	Y	N	N	OK
BasicsFst	Basics	fst	1	Pure	Y	Y	Y	Y	Y	Y	basics_fst	Y	N	N	OK
BasicsSnd	Basics	snd	1	Pure	Y	Y	Y	Y	Y	Y	basics_snd	Y	N	N	OK
BasicsModBy	Basics	modBy	2	Pure	Y	Y	Y	Y	Y	Y	basics_mod_by	Y	N	N	OK
BasicsToString	Basics	toString	1	Pure	Y	Y	Y	Y	Y	Y	basics_to_string	Y	N	N	OK
BasicsClamp	Basics	clamp	3	Pure	Y	Y	Y	Y	Y	Y	basics_clamp	Y	N	N	OK
BasicsNegate	Basics	negate	1	Pure	Y	Y	Y	Y	Y	Y	basics_negate	Y	N	N	OK
BasicsAbs	Basics	abs	1	Pure	Y	Y	Y	Y	Y	Y	basics_abs	Y	N	N	OK
BasicsSqrt	Basics	sqrt	1	Pure	Y	Y	Y	Y	Y	Y	math_sqrt	Y	N	N	OK
BasicsMin	Basics	min	2	Pure	Y	Y	Y	Y	Y	Y	math_min	Y	N	N	OK
BasicsMax	Basics	max	2	Pure	Y	Y	Y	Y	Y	Y	math_max	Y	N	N	OK
ErrorUnexpected	Error	unexpected	1	Pure	Y	Y	Y	Y	Y	Y		N	N	N	OK
ErrorInvalidInput					Y	N	Y	Y	N	Y		N	N	N	OK
ErrorIo	Error	io	1	Pure	Y	Y	Y	Y	Y	Y		N	N	N	OK
ErrorNetwork	Error	network	1	Pure	Y	Y	Y	Y	Y	Y		N	N	N	OK
ErrorFfi	Error	ffi	1	Pure	Y	Y	Y	Y	Y	Y		N	N	N	OK
ErrorDecode	Error	decode	1	Pure	Y	Y	Y	Y	Y	Y		N	N	N	OK
ErrorConflict	Error	conflict	1	Pure	Y	Y	Y	Y	Y	Y		N	N	N	OK
ErrorUnavailable	Error	unavailable	1	Pure	Y	Y	Y	Y	Y	Y	sky_error_from_message	Y	N	N	OK
ErrorTimeout	Error	timeout	0	Pure	Y	Y	Y	Y	Y	Y	sky_error_timeout	Y	N	N	OK
ErrorNotFound	Error	notFound	0	Pure	Y	Y	Y	Y	Y	Y	sky_error_not_found	Y	N	N	OK
ErrorPermissionDenied					Y	N	Y	Y	N	Y	sky_error_permission_denied	Y	N	N	OK
ErrorToString	Error	toString	1	Pure	Y	Y	Y	Y	Y	Y	basics_error_to_string	Y	N	N	OK
ErrorWithMessage					Y	N	Y	Y	N	Y	sky_error_with_message	Y	N	N	OK
CssSafetySafeValue	CssSafety	safeValue	1	Pure	Y	Y	Y	Y	Y	Y	safe_value	Y	N	N	OK
CssSafetySafePropName					Y	N	Y	Y	N	Y	safe_prop_name	Y	N	N	OK
CssSafetySafeSelector					Y	N	Y	Y	N	Y	safe_selector	Y	N	N	OK
CssSafetyStripStyleClose					Y	N	Y	Y	N	Y	strip_style_close_kernel	Y	N	N	OK
MaybeWithDefault	Maybe	withDefault	2	Pure	Y	Y	Y	N	Y	Y	maybe_with_default	Y	N	N	OK
MaybeMap	Maybe	map	2	Pure	Y	Y	Y	N	Y	Y	sky_maybe_map	Y	N	N	OK
MaybeAndThen	Maybe	andThen	2	Pure	Y	Y	Y	N	Y	Y	sky_maybe_and_then	Y	N	N	OK
MaybeMap2	Maybe	map2	3	Pure	Y	Y	Y	Y	Y	Y	maybe_map2	Y	N	N	OK
MaybeMap3	Maybe	map3	4	Pure	Y	Y	Y	Y	Y	Y	maybe_map3	Y	N	N	OK
MaybeMap4	Maybe	map4	5	Pure	Y	Y	Y	Y	Y	Y	maybe_map4	Y	N	N	OK
MaybeMap5	Maybe	map5	6	Pure	Y	Y	Y	Y	Y	Y	maybe_map5	Y	N	N	OK
MaybeAndMap	Maybe	andMap	2	Pure	Y	Y	Y	Y	Y	Y	maybe_and_map	Y	N	N	OK
MaybeCombine	Maybe	combine	1	Pure	Y	Y	Y	Y	Y	Y	maybe_combine	Y	N	N	OK
ResultWithDefault	Result	withDefault	2	Pure	Y	Y	Y	N	Y	Y	result_with_default	Y	N	N	OK
ResultMap	Result	map	2	Pure	Y	Y	Y	N	Y	Y	sky_result_map	Y	N	N	OK
ResultAndThen	Result	andThen	2	Pure	Y	Y	Y	Y	Y	Y	sky_result_and_then	Y	N	N	OK
ResultMapError	Result	mapError	2	Pure	Y	Y	Y	Y	Y	Y	sky_result_map_error	Y	N	N	OK
ResultMap2	Result	map2	3	Pure	Y	Y	Y	Y	Y	Y	result_map2	Y	N	N	OK
ResultMap3	Result	map3	4	Pure	Y	Y	Y	Y	Y	Y	result_map3	Y	N	N	OK
ResultMap4	Result	map4	5	Pure	Y	Y	Y	Y	Y	Y	result_map4	Y	N	N	OK
ResultMap5	Result	map5	6	Pure	Y	Y	Y	Y	Y	Y	result_map5	Y	N	N	OK
ResultAndMap	Result	andMap	2	Pure	Y	Y	Y	Y	Y	Y	result_and_map	Y	N	N	OK
ResultCombine	Result	combine	1	Pure	Y	Y	Y	Y	Y	Y	result_combine	Y	N	N	OK
ResultTraverse	Result	traverse	2	Pure	Y	Y	Y	Y	Y	Y	result_traverse	Y	N	N	OK
ResultOkDefault	_internal_	okDefault	1	Pure	Y	Y	Y	Y	N	Y	ok_res	Y	N	N	OK
MathMin	Math	min	2	Pure	Y	Y	Y	N	Y	Y	math_min	Y	N	N	OK
MathMax	Math	max	2	Pure	Y	Y	Y	N	Y	Y	math_max	Y	N	N	OK
MathPi	Math	pi	0	Pure	Y	Y	Y	N	Y	Y	math_pi	Y	N	N	OK
MathE	Math	e	0	Pure	Y	Y	Y	N	Y	Y	math_e	Y	N	N	OK
MathPhi	Math	phi	0	Pure	Y	Y	Y	N	Y	Y	math_phi	Y	N	N	OK
MathSqrt2	Math	sqrt2	0	Pure	Y	Y	Y	N	Y	Y	math_sqrt2	Y	N	N	OK
MathInf	Math	inf	0	Pure	Y	Y	Y	N	Y	Y	math_inf	Y	N	N	OK
MathNan	Math	nan	0	Pure	Y	Y	Y	N	Y	Y	math_nan	Y	N	N	OK
MathAbs	Math	abs	1	Pure	Y	Y	Y	N	Y	Y	math_abs	Y	N	N	OK
MathSqrt	Math	sqrt	1	Pure	Y	Y	Y	N	Y	Y	math_sqrt	Y	N	N	OK
MathCbrt	Math	cbrt	1	Pure	Y	Y	Y	N	Y	Y	math_cbrt	Y	N	N	OK
MathExp	Math	exp	1	Pure	Y	Y	Y	N	Y	Y	math_exp	Y	N	N	OK
MathExp2	Math	exp2	1	Pure	Y	Y	Y	N	Y	Y	math_exp2	Y	N	N	OK
MathLog	Math	log	1	Pure	Y	Y	Y	N	Y	Y	math_log	Y	N	N	OK
MathLog2	Math	log2	1	Pure	Y	Y	Y	N	Y	Y	math_log2	Y	N	N	OK
MathLog10	Math	log10	1	Pure	Y	Y	Y	N	Y	Y	math_log10	Y	N	N	OK
MathSin	Math	sin	1	Pure	Y	Y	Y	N	Y	Y	math_sin	Y	N	N	OK
MathCos	Math	cos	1	Pure	Y	Y	Y	N	Y	Y	math_cos	Y	N	N	OK
MathTan	Math	tan	1	Pure	Y	Y	Y	N	Y	Y	math_tan	Y	N	N	OK
MathAsin	Math	asin	1	Pure	Y	Y	Y	N	Y	Y	math_asin	Y	N	N	OK
MathAcos	Math	acos	1	Pure	Y	Y	Y	N	Y	Y	math_acos	Y	N	N	OK
MathAtan	Math	atan	1	Pure	Y	Y	Y	N	Y	Y	math_atan	Y	N	N	OK
MathSinh	Math	sinh	1	Pure	Y	Y	Y	N	Y	Y	math_sinh	Y	N	N	OK
MathCosh	Math	cosh	1	Pure	Y	Y	Y	N	Y	Y	math_cosh	Y	N	N	OK
MathTanh	Math	tanh	1	Pure	Y	Y	Y	N	Y	Y	math_tanh	Y	N	N	OK
MathAsinh	Math	asinh	1	Pure	Y	Y	Y	N	Y	Y	math_asinh	Y	N	N	OK
MathAcosh	Math	acosh	1	Pure	Y	Y	Y	N	Y	Y	math_acosh	Y	N	N	OK
MathAtanh	Math	atanh	1	Pure	Y	Y	Y	N	Y	Y	math_atanh	Y	N	N	OK
MathFloor	Math	floor	1	Pure	Y	Y	Y	N	Y	Y	math_floor	Y	N	N	OK
MathCeil	Math	ceil	1	Pure	Y	Y	Y	N	Y	Y	math_ceil	Y	N	N	OK
MathRound	Math	round	1	Pure	Y	Y	Y	N	Y	Y	math_round	Y	N	N	OK
MathTrunc	Math	trunc	1	Pure	Y	Y	Y	N	Y	Y	math_trunc	Y	N	N	OK
MathPow	Math	pow	2	Pure	Y	Y	Y	N	Y	Y	math_pow	Y	N	N	OK
MathHypot	Math	hypot	2	Pure	Y	Y	Y	N	Y	Y	math_hypot	Y	N	N	OK
MathAtan2	Math	atan2	2	Pure	Y	Y	Y	N	Y	Y	math_atan2	Y	N	N	OK
MathMod	Math	mod	2	Pure	Y	Y	Y	N	Y	Y	math_mod	Y	N	N	OK
MathRemainder	Math	remainder	2	Pure	Y	Y	Y	N	Y	Y	math_remainder	Y	N	N	OK
DictEmpty	Dict	empty	0	Pure	Y	Y	Y	N	Y	Y	dict_empty	Y	N	N	OK
DictIsEmpty	Dict	isEmpty	1	Pure	Y	Y	Y	N	Y	Y	dict_is_empty	Y	N	N	OK
DictSize	Dict	size	1	Pure	Y	Y	Y	N	Y	Y	dict_size	Y	N	N	OK
DictKeys	Dict	keys	1	Pure	Y	Y	Y	N	Y	Y	dict_keys	Y	N	N	OK
DictValues	Dict	values	1	Pure	Y	Y	Y	N	Y	Y	dict_values	Y	N	N	OK
DictToList	Dict	toList	1	Pure	Y	Y	Y	N	Y	Y	dict_to_list	Y	N	N	OK
DictFromList	Dict	fromList	1	Pure	Y	Y	Y	N	Y	Y	dict_from_list	Y	N	N	OK
DictGet	Dict	get	2	Pure	Y	Y	Y	N	Y	Y	dict_get	Y	N	N	OK
DictMember	Dict	member	2	Pure	Y	Y	Y	N	Y	Y	dict_member	Y	N	N	OK
DictRemove	Dict	remove	2	Pure	Y	Y	Y	N	Y	Y	dict_remove	Y	N	N	OK
DictUnion	Dict	union	2	Pure	Y	Y	Y	N	Y	Y	dict_union	Y	N	N	OK
DictMap	Dict	map	2	Pure	Y	Y	Y	N	Y	Y	dict_map	Y	N	N	OK
DictInsert	Dict	insert	3	Pure	Y	Y	Y	N	Y	Y	dict_insert	Y	N	N	OK
DictFoldl	Dict	foldl	3	Pure	Y	Y	Y	N	Y	Y	dict_foldl	Y	N	N	OK
SetEmpty	Set	empty	0	Pure	Y	Y	Y	N	Y	Y	set_empty	Y	N	N	OK
SetSize	Set	size	1	Pure	Y	Y	Y	N	Y	Y	set_size	Y	N	N	OK
SetToList	Set	toList	1	Pure	Y	Y	Y	N	Y	Y	set_to_list	Y	N	N	OK
SetFromList	Set	fromList	1	Pure	Y	Y	Y	N	Y	Y	set_from_list	Y	N	N	OK
SetMember	Set	member	2	Pure	Y	Y	Y	N	Y	Y	set_member	Y	N	N	OK
SetInsert	Set	insert	2	Pure	Y	Y	Y	N	Y	Y	set_insert	Y	N	N	OK
SetRemove	Set	remove	2	Pure	Y	Y	Y	N	Y	Y	set_remove	Y	N	N	OK
SetUnion	Set	union	2	Pure	Y	Y	Y	N	Y	Y	set_union	Y	N	N	OK
SetIntersect	Set	intersect	2	Pure	Y	Y	Y	N	Y	Y	set_intersect	Y	N	N	OK
SetDiff	Set	diff	2	Pure	Y	Y	Y	N	Y	Y	set_diff	Y	N	N	OK
BytesEmpty	Bytes	empty	0	Pure	Y	Y	Y	N	Y	Y	bytes_empty	Y	N	N	OK
BytesLength	Bytes	length	1	Pure	Y	Y	Y	N	Y	Y	bytes_length	Y	N	N	OK
BytesIsEmpty	Bytes	isEmpty	1	Pure	Y	Y	Y	N	Y	Y	bytes_is_empty	Y	N	N	OK
BytesFromString	Bytes	fromString	1	Pure	Y	Y	Y	N	Y	Y	bytes_from_string	Y	N	N	OK
BytesToString	Bytes	toString	1	Pure	Y	Y	Y	N	Y	Y	bytes_to_string	Y	N	N	OK
BytesFromHex	Bytes	fromHex	1	Pure	Y	Y	Y	N	Y	Y	bytes_from_hex	Y	N	N	OK
BytesToHex	Bytes	toHex	1	Pure	Y	Y	Y	N	Y	Y	bytes_to_hex	Y	N	N	OK
BytesFromBase64	Bytes	fromBase64	1	Pure	Y	Y	Y	N	Y	Y	bytes_from_base64	Y	N	N	OK
BytesToBase64	Bytes	toBase64	1	Pure	Y	Y	Y	N	Y	Y	bytes_to_base64	Y	N	N	OK
BytesAppend	Bytes	append	2	Pure	Y	Y	Y	N	Y	Y	bytes_append	Y	N	N	OK
BytesSlice	Bytes	slice	3	Pure	Y	Y	Y	N	Y	Y	bytes_slice	Y	N	N	OK
EncodingBase64Encode	Encoding	base64Encode	1	Pure	Y	Y	Y	Y	Y	Y	base64_encode	Y	N	N	OK
EncodingBase64Decode					Y	N	Y	Y	N	Y	sky_base64_decode	Y	N	N	OK
EncodingUrlEncode	Encoding	urlEncode	1	Pure	Y	Y	Y	Y	Y	Y	url_encode	Y	N	N	OK
EncodingUrlDecode	Encoding	urlDecode	1	Pure	Y	Y	Y	Y	Y	Y	sky_url_decode	Y	N	N	OK
EncodingHexEncode	Encoding	hexEncode	1	Pure	Y	Y	Y	Y	Y	Y	encoding_hex_encode	Y	N	N	OK
EncodingHexDecode					Y	N	Y	Y	N	Y	sky_encoding_hex_decode	Y	N	N	OK
JsonEncString	JsonEnc	string	1	Pure	Y	Y	Y	Y	Y	Y	json_enc_string	Y	N	N	OK
JsonEncInt	JsonEnc	int	1	Pure	Y	Y	Y	Y	Y	Y	json_enc_int	Y	N	N	OK
JsonEncFloat	JsonEnc	float	1	Pure	Y	Y	Y	Y	Y	Y	json_enc_float	Y	N	N	OK
JsonEncBool	JsonEnc	bool	1	Pure	Y	Y	Y	Y	Y	Y	json_enc_bool	Y	N	N	OK
JsonEncNull	JsonEnc	null	0	Pure	Y	Y	Y	Y	Y	Y	json_enc_null	Y	N	N	OK
JsonEncList	JsonEnc	list	2	Pure	Y	Y	Y	Y	Y	Y	json_enc_list	Y	N	N	OK
JsonEncObject	JsonEnc	object	1	Pure	Y	Y	Y	Y	Y	Y	json_enc_object	Y	N	N	OK
JsonEncEncode	JsonEnc	encode	2	Pure	Y	Y	Y	Y	Y	Y	json_enc_encode	Y	N	N	OK
JsonDecString	JsonDec	string	0	Pure	Y	Y	Y	Y	Y	Y	json_decode_string	Y	N	N	OK
JsonDecInt	JsonDec	int	0	Pure	Y	Y	Y	Y	Y	Y	json_decode_int	Y	N	N	OK
JsonDecFloat	JsonDec	float	0	Pure	Y	Y	Y	Y	Y	Y	json_decode_float	Y	N	N	OK
JsonDecBool	JsonDec	bool	0	Pure	Y	Y	Y	Y	Y	Y	json_decode_bool	Y	N	N	OK
JsonDecDecodeString					Y	N	Y	Y	N	Y	decode_from_json_string	Y	N	N	OK
JsonDecField	JsonDec	field	2	Pure	Y	Y	Y	Y	Y	Y	decode_field	Y	N	N	OK
JsonDecAt	JsonDec	at	2	Pure	Y	Y	Y	Y	Y	Y	decode_at	Y	N	N	OK
JsonDecIndex	JsonDec	index	2	Pure	Y	Y	Y	Y	Y	Y	decode_index	Y	N	N	OK
JsonDecList	JsonDec	list	1	Pure	Y	Y	Y	Y	Y	Y	decode_list	Y	N	N	OK
JsonDecMap	JsonDec	map	2	Pure	Y	Y	Y	Y	Y	Y	decode_map	Y	N	N	OK
JsonDecAndThen	JsonDec	andThen	2	Pure	Y	Y	Y	Y	Y	Y	decode_and_then	Y	N	N	OK
JsonDecSucceed	JsonDec	succeed	1	Pure	Y	Y	Y	Y	Y	Y	decode_succeed	Y	N	N	OK
JsonDecFail	JsonDec	fail	1	Pure	Y	Y	Y	Y	Y	Y	decode_fail	Y	N	N	OK
JsonDecOneOf	JsonDec	oneOf	1	Pure	Y	Y	Y	Y	Y	Y	decode_one_of	Y	N	N	OK
JsonDecMap2	JsonDec	map2	3	Pure	Y	Y	Y	Y	Y	Y	decode_map2	Y	N	N	OK
JsonDecMap3	JsonDec	map3	4	Pure	Y	Y	Y	Y	Y	Y	decode_map3	Y	N	N	OK
JsonDecMap4	JsonDec	map4	5	Pure	Y	Y	Y	Y	Y	Y	decode_map4	Y	N	N	OK
JsonDecPRequired					Y	N	Y	Y	N	Y	decode_pipeline_required	Y	N	N	OK
JsonDecPOptional					Y	N	Y	Y	N	Y	decode_pipeline_optional	Y	N	N	OK
JsonDecPCustom	JsonDecP	custom	2	Pure	Y	Y	Y	Y	Y	Y	decode_pipeline_custom	Y	N	N	OK
JsonDecPRequiredAt					Y	N	Y	Y	N	Y	decode_pipeline_required_at	Y	N	N	OK
CryptoSha256	Crypto	sha256	1	Pure	Y	Y	Y	Y	Y	Y	crypto_sha256	Y	N	N	OK
CryptoSha512	Crypto	sha512	1	Pure	Y	Y	Y	Y	Y	Y	crypto_sha512	Y	N	N	OK
CryptoSha1	Crypto	sha1	1	Pure	Y	Y	Y	Y	Y	Y	crypto_sha1	Y	N	N	OK
CryptoMd5	Crypto	md5	1	Pure	Y	Y	Y	Y	Y	Y	crypto_md5	Y	N	N	OK
CryptoHmacSha256	Crypto	hmacSha256	2	Pure	Y	Y	Y	Y	Y	Y	crypto_hmac_sha256	Y	N	N	OK
CryptoHmacSha512	Crypto	hmacSha512	2	Pure	Y	Y	Y	Y	Y	Y	crypto_hmac_sha512	Y	N	N	OK
CryptoRsaSha256Sign					Y	N	Y	Y	N	Y	sky_crypto_rsa_sha256_sign	Y	N	N	OK
CryptoRsaSha256Verify					Y	N	Y	Y	N	Y	crypto_rsa_sha256_verify	Y	N	N	OK
CryptoConstantTimeEqual					Y	N	Y	Y	N	Y	crypto_constant_time_equal	Y	N	N	OK
CryptoAesGcmEncrypt					Y	N	Y	Y	N	Y	sky_aes_gcm_encrypt	Y	N	N	OK
CryptoAesGcmDecrypt					Y	N	Y	Y	N	Y	sky_aes_gcm_decrypt	Y	N	N	OK
CryptoChacha20Encrypt					Y	N	Y	Y	N	Y	sky_chacha20_encrypt	Y	N	N	OK
CryptoChacha20Decrypt					Y	N	Y	Y	N	Y	sky_chacha20_decrypt	Y	N	N	OK
CryptoAesKeyFromPassword					Y	N	Y	Y	N	Y	crypto_aes_key_from_password	Y	N	N	OK
CryptoChachaKeyFromPassword					Y	N	Y	Y	N	Y	crypto_chacha_key_from_password	Y	N	N	OK
CryptoRandomBytes	Crypto	randomBytes	1	Pure	Y	Y	Y	Y	Y	Y	crypto_random_bytes	Y	N	N	OK
CryptoRandomToken	Crypto	randomToken	1	Pure	Y	Y	Y	Y	Y	Y	crypto_random_token	Y	N	N	OK
UuidV4	Uuid	v4	1	Pure	Y	Y	Y	Y	Y	Y	uuid_v4	Y	N	N	OK
UuidV7	Uuid	v7	1	Pure	Y	Y	Y	Y	Y	Y	uuid_v7	Y	N	N	OK
UuidParse	Uuid	parse	1	Pure	Y	Y	Y	Y	Y	Y	uuid_parse	Y	N	N	OK
